gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3759357839	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187923182/original.jpg	https://www.inaturalist.org/photos/187923182					2022-04-13T21:35:40Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3759311780	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187923182/original.jpg	https://www.inaturalist.org/photos/187923182					2022-04-13T21:35:40Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
3759310548	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185639969/original.jpeg	https://www.inaturalist.org/photos/185639969					2022-04-01T09:54:38Z	eppyen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eppyen
3759220810	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/180608585/original.jpeg	https://www.inaturalist.org/photos/180608585					2022-02-24T14:22:06Z	Charlotte Kirchner		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Charlotte Kirchner
3759220810	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/180608603/original.jpeg	https://www.inaturalist.org/photos/180608603					2022-02-25T00:23:57Z	Charlotte Kirchner		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Charlotte Kirchner
3759180216	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185095911/original.jpeg	https://www.inaturalist.org/photos/185095911					2022-03-24T22:02:13Z	Sheelagh Halsey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sheelagh Halsey
3759149924	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/184332507/original.jpg	https://www.inaturalist.org/photos/184332507					2022-03-24T15:05:49Z	hubu		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hubu
3759149924	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/184332494/original.jpg	https://www.inaturalist.org/photos/184332494					2022-03-24T15:05:49Z	hubu		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hubu
3759118246	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185095325/original.jpeg	https://www.inaturalist.org/photos/185095325					2022-03-23T16:11:17Z	Sheelagh Halsey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sheelagh Halsey
3746970343	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/66923422/original.jpeg	https://www.inaturalist.org/photos/66923422					2020-04-12T00:14:38Z	Trond R. Oskars		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Trond R. Oskars
